name	log2FC	pvalue	qvalue	n.control	n.alt	mean_length.control	mean_length.alt
ENST00000359957	-0.107816409	0.309587279	0.812914882	264	326	1134.325758	1083.59816
ENST00000359972	0.469665593	0.161343532	0.708022032	12	12	1270.083333	1671
ENST00000359984	-0.043266247	0.640769173	0.926104385	99	117	1501.10101	1462.769231
ENST00000359995	-0.176839848	0.006503891	0.263513366	1268	1358	1581.948738	1431.356406
ENST00000360000	-0.189261857	0.422733408	0.859313376	47	49	787.4255319	714.0408163
ENST00000360001	-0.102782563	0.696349275	0.937861859	484	489	1247.227273	1248.879346
ENST00000360003	-0.341236964	0.050942507	0.52898181	133	143	1707.120301	1447.671329
ENST00000360009	-0.008779405	0.974660698	0.994347024	47	53	1707.255319	1663.358491
ENST00000360031	0.329435923	0.319203108	0.816966344	14	23	1672.571429	2052.478261
ENST00000360051	-0.422366457	0.301858288	0.810722447	62	58	2335.5	1901.551724
ENST00000360060	-0.340836262	0.085591089	0.612173971	58	52	1815.155172	1530.25
ENST00000360066	-0.035740107	0.932094441	0.986471783	29	42	1629.034483	1699.833333
ENST00000360079	-0.126302536	0.115462298	0.65875502	1179	1132	2009.279898	1921.168728
ENST00000360105	0.023040344	0.925031157	0.985507911	90	89	1354.6	1291.674157
ENST00000360110	-0.365320649	0.045737609	0.511978827	465	447	2505.133333	2016.957494
ENST00000360127	-0.148897096	0.594768138	0.913675218	38	37	1347.578947	1219.540541
ENST00000360128	-0.550874131	0.000197539	0.0528833	98	141	1925.22449	1385.496454
ENST00000360131	-0.540400792	0.049674507	0.523721389	40	31	1769	1304.096774
ENST00000360150	-0.066001903	0.568742762	0.906315221	258	256	1398.158915	1374.488281
ENST00000360171	-0.222085799	0.52461395	0.893328177	11	17	1129.272727	1054.647059
ENST00000360184	-0.241021566	0.078673957	0.596900124	383	293	2278.386423	1960.027304
ENST00000360187	-0.486611322	0.415433374	0.85707158	8	20	1533.875	1031.05
ENST00000360190	-0.431300223	0.140086302	0.690187194	28	41	1627.392857	1050.853659
ENST00000360203	-0.563382555	0.231664464	0.766290049	34	48	2376.147059	2031.6875
ENST00000360212	-0.130356482	0.752100987	0.948933725	8	16	1423.25	1276.9375
ENST00000360214	-0.31811851	0.037484929	0.481720864	295	254	1576.867797	1311.543307
ENST00000360221	-0.164356863	0.47300494	0.876291974	66	89	1001.136364	917.8651685
ENST00000360240	-0.287078185	0.58263063	0.910093562	28	31	3177.357143	3036.870968
ENST00000360244	-0.038431554	0.487892668	0.882130228	244	253	1630.360656	1590.098814
ENST00000360252	-0.278655121	0.28962615	0.805391812	32	32	1748.34375	1387.8125
ENST00000360264	-0.023994937	0.938316436	0.988346178	35	23	2000.857143	1848.086957
ENST00000360265	-0.113599073	0.606297847	0.916630698	59	35	1928.559322	1881.028571
ENST00000360270	-0.169407692	0.487462015	0.882130228	1587	1460	1631.074354	1564.95
ENST00000360271	-0.312629547	0.348907703	0.831732911	23	16	1462.304348	1243.25
ENST00000360280	-0.503940965	0.124644155	0.6729046	21	35	1923.380952	1513.342857
ENST00000360284	-0.094207949	0.478174595	0.878708704	317	174	1461.425868	1487.5
ENST00000360289	-0.728818292	0.279438173	0.800361714	8	16	1393	901.375
ENST00000360299	-0.204170021	0.130753434	0.680471054	139	100	1930.071942	1768.25
ENST00000360310	-0.119248767	0.743268048	0.947735969	18	21	1837.833333	1653.571429
ENST00000360315	-0.246392198	0.35617892	0.834727824	78	72	1540.269231	1483.861111
ENST00000360319	-0.099534871	0.668338406	0.929675265	1406	1789	1588.345661	1556.594746
ENST00000360332	-0.618017239	0.057553665	0.549565141	8	12	1220.75	849.9166667
ENST00000360351	-0.106598598	0.756273494	0.949819064	20	23	2071.65	2092.391304
ENST00000360359	-0.122035522	0.719737358	0.942528875	42	40	1981.785714	2003.25
ENST00000360370	-0.366797846	0.137884399	0.68917241	66	67	1869.090909	1549.552239
ENST00000360375	-1.112114771	0.019344335	0.394568462	15	22	2817.866667	1725.863636
ENST00000360380	-0.260516623	0.465239427	0.87460809	32	12	1835.625	1548.333333
ENST00000360383	-0.088702983	0.50405516	0.888478252	44	41	1981.5	1921.170732
ENST00000360384	-0.150231822	0.217953204	0.756129158	132	171	991.6969697	895.3333333
ENST00000360403	-0.192595529	0.07920901	0.597561783	155	148	1385.754839	1254.952703
ENST00000360416	-0.077424005	0.814228693	0.963032963	29	31	2063.655172	2148.290323
ENST00000360423	0.160509791	0.513753883	0.890234718	16	13	987.6875	1096.769231
ENST00000360439	-0.3731958	0.334437525	0.824175587	20	20	2389.65	1735.35
ENST00000360442	-5.03E-05	0.999804282	0.999943915	30	32	1519.533333	1550.03125
ENST00000360458	-0.170423846	0.118429831	0.663837165	632	789	1087.587025	968.086185
ENST00000360461	0.022106247	0.960341207	0.993087711	15	17	2495.866667	2396.941176
ENST00000360467	-0.030661544	0.916637676	0.983860637	601	807	1758.267887	1833.710037
ENST00000360468	0.012651065	0.982653917	0.996111595	17	17	1663.705882	1807.529412
ENST00000360472	-0.08001326	0.748507421	0.94880475	122	143	1368.590164	1361.692308
ENST00000360476	0.024573699	0.809676033	0.961877898	47	86	722.5531915	782.4418605
ENST00000360482	0.092515949	0.594843166	0.913675218	26	31	1485.038462	1598.612903
ENST00000360506	-0.341499338	0.279826237	0.800361714	18	25	1622.944444	1294.84
ENST00000360507	-0.109806297	0.417454604	0.857243984	77	103	1435.311688	1398.514563
ENST00000360515	-0.567556569	0.01344336	0.348727868	41	50	2265.170732	1671.92
ENST00000360525	0.043617451	0.779536835	0.955465977	24	25	773	806.76
ENST00000360537	-0.119683339	0.572461597	0.907671991	44	35	1589.318182	1428.257143
ENST00000360538	-0.129209957	0.390036702	0.847567788	93	102	1887.408602	1771.696078
ENST00000360540	-0.394421361	0.103985718	0.642451722	38	40	2017.157895	1613.2
ENST00000360541	-0.38346324	0.005586769	0.245073499	279	330	1704.247312	1431.539394
ENST00000360564	-0.586523628	0.046611812	0.516516574	21	26	1896.52381	1370.461538
ENST00000360565	-0.128495349	0.613312146	0.919012364	195	183	1511.030769	1457.245902
ENST00000360566	-0.218158386	0.041295788	0.494278529	182	196	1598.593407	1383.943878
ENST00000360568	-0.224234261	0.025273522	0.429021187	93	86	1803.344086	1606.837209
ENST00000360570	-0.173560168	0.071460139	0.582061867	55	69	1037.781818	897.6956522
ENST00000360579	-0.025029465	0.469105823	0.87460809	280	257	957.4535714	942.1050584
ENST00000360586	-0.215506654	0.361732455	0.836143066	86	72	2060.825581	1759.875
ENST00000360594	-0.510518197	0.08145768	0.603555001	20	21	2006.3	1529.904762
ENST00000360595	-0.151514849	0.660623567	0.929203615	20	17	1081.1	900.1176471
ENST00000360596	-0.183675207	0.620921334	0.920670917	27	32	1785.888889	1606.4375
ENST00000360605	-0.262549008	0.238264228	0.770436394	20	22	1206.5	1104.454545
ENST00000360612	-0.027248404	0.885231117	0.977497326	417	347	1325.014388	1370
ENST00000360614	-0.190540231	0.475926488	0.877617758	332	327	1805.331325	1719.66055
ENST00000360620	0.24494695	0.411203401	0.855218284	14	15	678.5714286	748.4666667
ENST00000360632	0.249793106	0.266765819	0.793459497	17	25	1571.470588	1703.72
ENST00000360635	-0.176374559	0.022283377	0.416377914	178	201	1095.730337	967.39801
ENST00000360647	-0.330815869	0.066031855	0.570795566	87	71	1909.252874	1554.084507
