sample	transcript	read_length
Treatment_3_demo	ENST00000258281	1757
Treatment_3_demo	ENST00000258281	999
Treatment_3_demo	ENST00000258281	566
Treatment_3_demo	ENST00000258281	422
Treatment_3_demo	ENST00000258281	368
Treatment_3_demo	ENST00000424629	1189
Treatment_3_demo	ENST00000424629	672
Treatment_3_demo	ENST00000424629	1299
Treatment_3_demo	ENST00000424629	623
Treatment_3_demo	ENST00000424629	526
Treatment_3_demo	ENST00000402965	1299
Treatment_3_demo	ENST00000402965	899
Treatment_3_demo	ENST00000402965	834
Treatment_3_demo	ENST00000402965	544
Treatment_3_demo	ENST00000509018	2098
Treatment_3_demo	ENST00000509018	1724
Treatment_3_demo	ENST00000509018	1769
Treatment_3_demo	ENST00000509018	1175
Treatment_3_demo	ENST00000509018	1155
Treatment_3_demo	ENST00000509018	919
Treatment_3_demo	ENST00000509018	570
Treatment_3_demo	ENST00000509018	450
Treatment_3_demo	ENST00000509018	457
Treatment_3_demo	ENST00000509018	293
Treatment_3_demo	ENST00000271332	2806
Treatment_3_demo	ENST00000271332	770
Treatment_3_demo	ENST00000271332	379
Treatment_3_demo	ENST00000271332	226
Treatment_3_demo	ENST00000379802	4438
Treatment_3_demo	ENST00000379802	2260
Treatment_3_demo	ENST00000379802	1342
Treatment_3_demo	ENST00000379802	1289
Treatment_3_demo	ENST00000379802	1119
Treatment_3_demo	ENST00000379802	1042
Treatment_3_demo	ENST00000379802	1057
Treatment_3_demo	ENST00000379802	869
Treatment_3_demo	ENST00000379802	673
Treatment_3_demo	ENST00000379802	165
Treatment_3_demo	ENST00000398506	446
Treatment_3_demo	ENST00000398506	725
Treatment_3_demo	ENST00000368990	3683
Treatment_3_demo	ENST00000368990	473
Treatment_3_demo	ENST00000368990	387
Treatment_3_demo	ENST00000368990	477
Treatment_3_demo	ENST00000368990	1771
Treatment_3_demo	ENST00000395153	3990
Treatment_3_demo	ENST00000395153	1850
Treatment_3_demo	ENST00000395153	841
Treatment_3_demo	ENST00000395153	584
Treatment_3_demo	ENST00000395153	454
Treatment_3_demo	ENST00000320985	799
Treatment_3_demo	ENST00000320985	2218
Treatment_3_demo	ENST00000320985	2032
Treatment_3_demo	ENST00000320985	897
Treatment_3_demo	ENST00000320985	1367
Treatment_3_demo	ENST00000320985	148
Treatment_3_demo	ENST00000407445	264
Treatment_3_demo	ENST00000407445	167
Treatment_3_demo	ENST00000407445	619
Treatment_3_demo	ENST00000614357	538
Treatment_3_demo	ENST00000614357	1057
Treatment_3_demo	ENST00000360971	510
Treatment_3_demo	ENST00000360971	279
Treatment_3_demo	ENST00000360971	373
Treatment_3_demo	ENST00000360971	2147
